date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_name,is_weekend
20161124,2016-11-24,24,11,November,Q4,2016,47,Thursday,0
20161125,2016-11-25,25,11,November,Q4,2016,47,Friday,0
20161126,2016-11-26,26,11,November,Q4,2016,47,Saturday,1
20161128,2016-11-28,28,11,November,Q4,2016,48,Monday,0
20161129,2016-11-29,29,11,November,Q4,2016,48,Tuesday,0
20161130,2016-11-30,30,11,November,Q4,2016,48,Wednesday,0
20161201,2016-12-01,1,12,December,Q4,2016,48,Thursday,0
20161202,2016-12-02,2,12,December,Q4,2016,48,Friday,0
20161205,2016-12-05,5,12,December,Q4,2016,49,Monday,0
20161206,2016-12-06,6,12,December,Q4,2016,49,Tuesday,0
20161207,2016-12-07,7,12,December,Q4,2016,49,Wednesday,0
20161208,2016-12-08,8,12,December,Q4,2016,49,Thursday,0
20161209,2016-12-09,9,12,December,Q4,2016,49,Friday,0
20161212,2016-12-12,12,12,December,Q4,2016,50,Monday,0
20161213,2016-12-13,13,12,December,Q4,2016,50,Tuesday,0
20161214,2016-12-14,14,12,December,Q4,2016,50,Wednesday,0
20161215,2016-12-15,15,12,December,Q4,2016,50,Thursday,0
20161216,2016-12-16,16,12,December,Q4,2016,50,Friday,0
20161219,2016-12-19,19,12,December,Q4,2016,51,Monday,0
20161220,2016-12-20,20,12,December,Q4,2016,51,Tuesday,0
20161223,2016-12-23,23,12,December,Q4,2016,51,Friday,0
20161227,2016-12-27,27,12,December,Q4,2016,52,Tuesday,0
20161228,2016-12-28,28,12,December,Q4,2016,52,Wednesday,0
20161230,2016-12-30,30,12,December,Q4,2016,52,Friday,0
20170105,2017-01-05,5,1,January,Q1,2017,1,Thursday,0
20170106,2017-01-06,6,1,January,Q1,2017,1,Friday,0
20170107,2017-01-07,7,1,January,Q1,2017,1,Saturday,1
20170108,2017-01-08,8,1,January,Q1,2017,1,Sunday,1
20170109,2017-01-09,9,1,January,Q1,2017,2,Monday,0
20170110,2017-01-10,10,1,January,Q1,2017,2,Tuesday,0
20170111,2017-01-11,11,1,January,Q1,2017,2,Wednesday,0
20170112,2017-01-12,12,1,January,Q1,2017,2,Thursday,0
20170113,2017-01-13,13,1,January,Q1,2017,2,Friday,0
20170114,2017-01-14,14,1,January,Q1,2017,2,Saturday,1
20170115,2017-01-15,15,1,January,Q1,2017,2,Sunday,1
20170116,2017-01-16,16,1,January,Q1,2017,3,Monday,0
20170117,2017-01-17,17,1,January,Q1,2017,3,Tuesday,0
20170118,2017-01-18,18,1,January,Q1,2017,3,Wednesday,0
20170119,2017-01-19,19,1,January,Q1,2017,3,Thursday,0
20170120,2017-01-20,20,1,January,Q1,2017,3,Friday,0
20170121,2017-01-21,21,1,January,Q1,2017,3,Saturday,1
20170122,2017-01-22,22,1,January,Q1,2017,3,Sunday,1
20170123,2017-01-23,23,1,January,Q1,2017,4,Monday,0
20170124,2017-01-24,24,1,January,Q1,2017,4,Tuesday,0
20170125,2017-01-25,25,1,January,Q1,2017,4,Wednesday,0
20170126,2017-01-26,26,1,January,Q1,2017,4,Thursday,0
20170127,2017-01-27,27,1,January,Q1,2017,4,Friday,0
20170128,2017-01-28,28,1,January,Q1,2017,4,Saturday,1
20170129,2017-01-29,29,1,January,Q1,2017,4,Sunday,1
20170130,2017-01-30,30,1,January,Q1,2017,5,Monday,0
20170131,2017-01-31,31,1,January,Q1,2017,5,Tuesday,0
20170201,2017-02-01,1,2,February,Q1,2017,5,Wednesday,0
20170202,2017-02-02,2,2,February,Q1,2017,5,Thursday,0
20170203,2017-02-03,3,2,February,Q1,2017,5,Friday,0
20170204,2017-02-04,4,2,February,Q1,2017,5,Saturday,1
